country,year,agriculture_value,gdp_per_capita,population,poverty_headcount,school_enrollment,unemployment_rate,agriculture_value_change,gdp_per_capita_change,population_change,poverty_headcount_change,school_enrollment_change,unemployment_rate_change
BD,2000,22.7181480755923,396.670730249751,134544304.0,41.4,89.734264375,3.27,0.0,0.0,0.0,0.0,0.0,0.0
BD,2001,21.8483405815259,394.65641001891,136805810.0,23.420754716981133,89.734264375,3.609,-3.8286901343023483,-0.507806620763962,1.6808634277077905,-43.42812870294412,0.0,10.366972477064218
BD,2002,20.5841344226366,393.886422327628,138933658.0,23.420754716981133,89.734264375,3.966,-5.786279988505239,-0.19510330295789968,1.5553783863419213,0.0,0.0,9.891936824605164
BD,2003,19.8127182977042,426.74880754362,140970351.0,23.420754716981133,89.734264375,4.32,-3.7476247924423944,8.343111961513006,1.4659464303459213,0.0,0.0,8.925869894099847
BD,2004,19.2669595662859,455.614016909798,142902856.0,23.420754716981133,89.734264375,4.316,-2.7545878521956224,6.7639812592159565,1.370859181587769,0.0,0.0,-0.09259259259259967
BD,2005,18.5710395455964,480.08585075452,144715786.0,32.3,93.68999,4.25,-3.6119867190008037,5.371176683874257,1.2686450437351615,37.91186659147665,4.408266622066459,-1.5291936978683918
BD,2006,18.0340165108542,490.388026533289,146405973.0,23.420754716981133,93.43051,3.591,-2.8917230692642515,2.1459028135442315,1.1679354731901848,-27.489923476838594,-0.27695594801535606,-15.50588235294117
BD,2007,17.8065367823955,537.955492792911,147989278.0,23.420754716981133,89.734264375,4.015,-1.2613924819342759,9.699964861681408,1.081448364131976,0.0,-3.9561441171625855,11.80729601782231
BD,2008,17.5956955421992,613.06204104124,149474264.0,23.420754716981133,92.56719,4.49,-1.184066518789617,13.961479946676892,1.0034416141958546,0.0,3.1570166031129387,11.830635118306375
BD,2009,17.1046290519632,679.211477428056,150873714.0,23.420754716981133,92.54123,5.0,-2.7908330708399043,10.790006876704705,0.9362481289755697,0.0,-0.02804449395082953,11.358574610244986
BD,2010,17.0011812592919,757.385280361508,152201981.0,25.1,90.53203,3.379,-0.6047941312087524,11.509493807358751,0.8803833118338877,7.169902521549987,-2.171140366299429,-32.42
BD,2011,16.8099867573503,837.336944695647,153591076.0,23.420754716981133,89.734264375,3.737,-1.1245953973763156,10.556273855226927,0.9126655191169952,-6.690220251071189,-0.8811971022852472,10.594850547499268
BD,2012,16.1775631732753,859.680536375497,155070101.0,23.420754716981133,89.734264375,4.07,-3.762189662632942,2.6684110645531556,0.962962848180049,0.0,0.0,8.910891089108919
BD,2013,15.4932779975908,958.262989798283,156532141.0,23.420754716981133,89.734264375,4.426,-4.229840850288946,11.467335742928398,0.9428252065174059,0.0,0.0,8.74692874692875
