country,year,agriculture_value,gdp_per_capita,population,poverty_headcount,school_enrollment,unemployment_rate,agriculture_value_change,gdp_per_capita_change,population_change,poverty_headcount_change,school_enrollment_change,unemployment_rate_change
BD,2000,22.7181480755923,396.670730249751,134544304.0,41.4,80.67822719063545,3.27,0.0,0.0,0.0,0.0,0.0,0.0
BD,2001,21.8483405815259,394.65641001891,136805810.0,33.67153284671533,80.67822719063545,3.609,-3.8286901343023483,-0.507806620763962,1.6808634277077905,-18.667795056243165,0.0,10.366972477064218
BD,2002,20.5841344226366,393.886422327628,138933658.0,33.67153284671533,80.67822719063545,3.966,-5.786279988505239,-0.19510330295789968,1.5553783863419213,0.0,0.0,9.891936824605164
BD,2003,19.8127182977042,426.74880754362,140970351.0,33.67153284671533,80.67822719063545,4.32,-3.7476247924423944,8.343111961513006,1.4659464303459213,0.0,0.0,8.925869894099847
BD,2004,19.2669595662859,455.614016909798,142902856.0,33.67153284671533,80.67822719063545,4.316,-2.7545878521956224,6.7639812592159565,1.370859181587769,0.0,0.0,-0.09259259259259967
BD,2005,18.5710395455964,480.08585075452,144715786.0,32.3,93.68999,4.25,-3.6119867190008037,5.371176683874257,1.2686450437351615,-4.073271190114902,16.12797313780694,-1.5291936978683918
BD,2006,18.0340165108542,490.388026533289,146405973.0,33.67153284671533,93.43051,3.591,-2.8917230692642515,2.1459028135442315,1.1679354731901848,4.2462317235768765,-0.27695594801535606,-15.50588235294117
BD,2007,17.8065367823955,537.955492792911,147989278.0,33.67153284671533,80.67822719063545,4.015,-1.2613924819342759,9.699964861681408,1.081448364131976,0.0,-13.648949159503188,11.80729601782231
BD,2008,17.5956955421992,613.06204104124,149474264.0,33.67153284671533,92.56719,4.49,-1.184066518789617,13.961479946676892,1.0034416141958546,0.0,14.736271759259134,11.830635118306375
BD,2009,17.1046290519632,679.211477428056,150873714.0,33.67153284671533,92.54123,5.0,-2.7908330708399043,10.790006876704705,0.9362481289755697,0.0,-0.02804449395082953,11.358574610244986
BD,2010,17.0011812592919,757.385280361508,152201981.0,25.1,90.53203,3.379,-0.6047941312087524,11.509493807358751,0.8803833118338877,-25.45631909820074,-2.171140366299429,-32.42
BD,2011,16.8099867573503,837.336944695647,153591076.0,33.67153284671533,80.67822719063545,3.737,-1.1245953973763156,10.556273855226927,0.9126655191169952,34.14953325384593,-10.884327689729867,10.594850547499268
BD,2012,16.1775631732753,859.680536375497,155070101.0,33.67153284671533,80.67822719063545,4.07,-3.762189662632942,2.6684110645531556,0.962962848180049,0.0,0.0,8.910891089108919
BD,2013,15.4932779975908,958.262989798283,156532141.0,33.67153284671533,80.67822719063545,4.426,-4.229840850288946,11.467335742928398,0.9428252065174059,0.0,0.0,8.74692874692875
BD,2014,15.3516208986344,1094.46199702838,157964929.0,33.67153284671533,80.67822719063545,4.417,-0.9143132846285207,14.21311358990993,0.9153315037069509,0.0,0.0,-0.2033438770899343
BD,2015,14.7829964369364,1224.38647668165,159383179.0,33.67153284671533,80.67822719063545,4.397,-3.704002759399694,11.871081865430998,0.8978258712096787,0.0,0.0,-0.45279601539505165
BD,2016,13.4647923176039,1649.28380858601,160811932.0,19.5,80.67822719063545,4.35,-8.917029270458809,34.70287690990534,0.8964264666850408,-42.087578582267504,0.0,-1.0689106208778831
BD,2017,12.9572760433733,1811.08221668646,162186147.0,33.67153284671533,80.67822719063545,4.372,-3.7692098196499657,9.810222307291404,0.854547907552039,72.67452741905298,0.0,0.5057471264367841
BD,2018,12.4800771856196,1965.24372731467,163523103.0,33.67153284671533,80.67822719063545,4.439,-3.6828640229344622,8.512121051592159,0.8243342756024674,0.0,0.0,1.532479414455623
BD,2019,11.9753231358984,2129.79896954606,164913055.0,33.67153284671533,80.67822719063545,4.504,-4.0444785894658715,8.373274008931197,0.850003439575131,0.0,0.0,1.464293759855817
BD,2020,11.9996868602485,2248.85078828233,166298024.0,33.67153284671533,80.67822719063545,5.539,0.2034494107058027,5.589814834103546,0.8398176845368699,0.0,0.0,22.979573712255785
BD,2021,11.6328584271282,2482.84917843357,167658854.0,33.67153284671533,80.67822719063545,5.457,-3.056983381253864,10.405243041045331,0.8183079794141124,0.0,0.0,-1.4804116266474043
BD,2022,11.2176010351595,2716.48592780431,169384897.0,5.9,80.67822719063545,4.593,-3.5696935071461544,9.410025844507452,1.0294970762474653,-82.47778018642965,0.0,-15.832875206157226
BD,2023,11.0036900209598,2551.01773827307,171466990.0,33.67153284671533,80.67822719063545,3.352,-1.9069230001070303,-6.091258851651227,1.2292081743273675,470.70394655449707,0.0,-27.01937731330285
BD,2024,11.1648014276903,2593.41611680774,173562364.0,33.67153284671533,80.67822719063545,3.635,1.4641579908522884,1.6620181780222287,1.2220276334237834,0.0,0.0,8.442720763723145
BD,2025,21.69014588257372,1521.7108224729895,63267350.39333333,33.67153284671533,80.67822719063545,3.778,94.27256295646302,-41.32407782110656,-63.547770994100226,0.0,0.0,3.9339752407152817
ET,2000,44.6660179485759,122.269202606069,67411494.0,33.67153284671533,40.1724,3.499,0.0,0.0,0.0,0.0,0.0,0.0
ET,2001,42.3405711240311,118.457204255261,69487762.0,33.67153284671533,43.93817,3.16,-5.206299847956208,-3.1177093409937573,3.0799910768926075,0.0,9.374022961037909,-9.688482423549583
ET,2002,38.6923716914638,109.593813612988,71635517.0,33.67153284671533,46.06448,3.054,-8.616320790478682,-7.4823567701070015,3.090839218566277,0.0,4.839323076040736,-3.354430379746842
